id,month,campaign_id,brand,number_of_clicks,number_of_transactions,advertising_campaign_cost,value_of_products
1,2022-01,430255116072800749,,25,39,345499.367000001,91513.19
2,2022-01,430255116072800749,,25,39,13269312.667,91513.19
3,2022-01,430255116072800749,,25,39,15225453.8270001,91513.19
4,2022-01,430255116072800749,A,25,39,345499.367000001,2754646.21999999
5,2022-01,430255116072800749,A,25,39,13269312.667,2754646.21999999
6,2022-01,430255116072800749,A,25,39,15225453.8270001,2754646.21999999
7,2022-01,430255116072800749,AB,25,39,345499.367000001,38890.18
8,2022-01,430255116072800749,AB,25,39,13269312.667,38890.18
9,2022-01,430255116072800749,AB,25,39,15225453.8270001,38890.18
10,2022-01,430255116072800749,ABL,25,39,345499.367000001,47542.03
11,2022-01,430255116072800749,ABL,25,39,13269312.667,47542.03
12,2022-01,430255116072800749,ABL,25,39,15225453.8270001,47542.03
13,2022-01,430255116072800749,AC,25,39,345499.367000001,60157.15
14,2022-01,430255116072800749,AC,25,39,13269312.667,60157.15
15,2022-01,430255116072800749,AC,25,39,15225453.8270001,60157.15
16,2022-01,430255116072800749,ACM,25,39,345499.367000001,189.01
17,2022-01,430255116072800749,ACM,25,39,13269312.667,189.01
18,2022-01,430255116072800749,ACM,25,39,15225453.8270001,189.01
19,2022-01,430255116072800749,AD,25,39,345499.367000001,28736.18
20,2022-01,430255116072800749,AD,25,39,13269312.667,28736.18
21,2022-01,430255116072800749,AD,25,39,15225453.8270001,28736.18
22,2022-01,430255116072800749,AF,25,39,345499.367000001,82343.68
23,2022-01,430255116072800749,AF,25,39,13269312.667,82343.68
24,2022-01,430255116072800749,AF,25,39,15225453.8270001,82343.68
25,2022-01,430255116072800749,AG,25,39,345499.367000001,80169.09
26,2022-01,430255116072800749,AG,25,39,13269312.667,80169.09
27,2022-01,430255116072800749,AG,25,39,15225453.8270001,80169.09
28,2022-01,430255116072800749,AH,25,39,345499.367000001,97819.85
29,2022-01,430255116072800749,AH,25,39,13269312.667,97819.85
30,2022-01,430255116072800749,AH,25,39,15225453.8270001,97819.85
31,2022-01,430255116072800749,AL,25,39,345499.367000001,3395.79
32,2022-01,430255116072800749,AL,25,39,13269312.667,3395.79
33,2022-01,430255116072800749,AL,25,39,15225453.8270001,3395.79
34,2022-01,430255116072800749,AM,25,39,345499.367000001,167840.56
35,2022-01,430255116072800749,AM,25,39,13269312.667,167840.56
36,2022-01,430255116072800749,AM,25,39,15225453.8270001,167840.56
37,2022-01,430255116072800749,AO,25,39,345499.367000001,20730.26
38,2022-01,430255116072800749,AO,25,39,13269312.667,20730.26
39,2022-01,430255116072800749,AO,25,39,15225453.8270001,20730.26
40,2022-01,430255116072800749,AP,25,39,345499.367000001,14603.13
41,2022-01,430255116072800749,AP,25,39,13269312.667,14603.13
42,2022-01,430255116072800749,AP,25,39,15225453.8270001,14603.13
43,2022-01,430255116072800749,AS,25,39,345499.367000001,16059.2
44,2022-01,430255116072800749,AS,25,39,13269312.667,16059.2
45,2022-01,430255116072800749,AS,25,39,15225453.8270001,16059.2
46,2022-01,430255116072800749,ASB,25,39,345499.367000001,18209.23
47,2022-01,430255116072800749,ASB,25,39,13269312.667,18209.23
48,2022-01,430255116072800749,ASB,25,39,15225453.8270001,18209.23
49,2022-01,430255116072800749,AW,25,39,345499.367000001,1680.94
50,2022-01,430255116072800749,AW,25,39,13269312.667,1680.94
51,2022-01,430255116072800749,AW,25,39,15225453.8270001,1680.94
52,2022-01,430255116072800749,B,25,39,345499.367000001,2503714.13
53,2022-01,430255116072800749,B,25,39,13269312.667,2503714.13
54,2022-01,430255116072800749,B,25,39,15225453.8270001,2503714.13
55,2022-01,430255116072800749,BA,25,39,345499.367000001,130416.55
56,2022-01,430255116072800749,BA,25,39,13269312.667,130416.55
57,2022-01,430255116072800749,BA,25,39,15225453.8270001,130416.55
58,2022-01,430255116072800749,BAB,25,39,345499.367000001,19377.21
59,2022-01,430255116072800749,BAB,25,39,13269312.667,19377.21
60,2022-01,430255116072800749,BAB,25,39,15225453.8270001,19377.21
61,2022-01,430255116072800749,BB,25,39,345499.367000001,190278.64
62,2022-01,430255116072800749,BB,25,39,13269312.667,190278.64
63,2022-01,430255116072800749,BB,25,39,15225453.8270001,190278.64
64,2022-01,430255116072800749,BBW,25,39,345499.367000001,37263.9
65,2022-01,430255116072800749,BBW,25,39,13269312.667,37263.9
66,2022-01,430255116072800749,BBW,25,39,15225453.8270001,37263.9
67,2022-01,430255116072800749,BC,25,39,345499.367000001,9588.64
